HiIndexMinNeg for (zero-sized array) is -999
HiIndexMinNeg for [ 0 ] is -999
HiIndexMinNeg for [ -1 ] is 0
HiIndexMinNeg for [ 0 1 ] is -999
HiIndexMinNeg for [ 0 -1 ] is 1
HiIndexMinNeg for [ -1 2 ] is 0
HiIndexMinNeg for [ 1 -2 ] is 1
HiIndexMinNeg for [ -1 -2 ] is 1
HiIndexMinNeg for [ -2 -1 ] is 0
HiIndexMinNeg for [ -1 -1 ] is 1
HiIndexMinNeg for [ 1 2 3 ] is -999
HiIndexMinNeg for [ -1 2 3 ] is 0
HiIndexMinNeg for [ 1 -2 3 ] is 1
HiIndexMinNeg for [ 1 2 -3 ] is 2
HiIndexMinNeg for [ -1 -2 3 ] is 1
HiIndexMinNeg for [ -1 -2 -3 ] is 2
HiIndexMinNeg for [ -1 -2 -1 ] is 1
HiIndexMinNeg for [ -1 -1 -1 ] is 2
HiIndexMinNeg for [ -2 -1 -3 ] is 2
HiIndexMinNeg for [ 0 1 2 3 4 5 6 7 8 9 ] is -999
HiIndexMinNeg for [ -1 1 2 3 4 5 6 7 8 9 ] is 0
HiIndexMinNeg for [ 0 1 2 3 4 -5 6 7 8 9 ] is 5
HiIndexMinNeg for [ 0 1 2 3 4 5 6 7 8 -9 ] is 9
HiIndexMinNeg for [ -1 1 2 3 4 -5 6 7 8 -9 ] is 9
HiIndexMinNeg for [ -9 1 2 3 4 -5 6 7 8 -1 ] is 0
HiIndexMinNeg for [ -1 1 2 3 4 -9 6 7 8 -5 ] is 5
HiIndexMinNeg for [ -5 1 2 3 4 -1 6 7 8 -9 ] is 9
HiIndexMinNeg for [ -5 1 2 3 4 -9 6 7 8 -1 ] is 5
HiIndexMinNeg for [ -1 1 2 3 4 -1 6 7 8 -1 ] is 9
HiIndexMinNeg for [ -1 1 -2 3 -1 5 -2 7 -2 9 ] is 8
HiIndexMinNeg for [ 0 -1 2 3 -2 5 6 -4 8 -3 ] is 7
HiIndexMinNeg for [ 0 -1 2 -1 4 -2 6 -2 8 -2 ] is 9
HiIndexMinNeg for [ -5 1 -9 3 -5 -5 6 7 -9 -9 ] is 9
HiIndexMinNeg for [ -1 -2 -3 -4 -5 -5 -4 -3 -2 -1 ] is 5
HiIndexMinNeg for [ -4 -3 -2 -1 0 0 -1 -2 -3 -4 ] is 9
HiIndexMinNeg for [ 0 0 0 0 0 -1 -2 -3 -4 -5 ] is 9
HiIndexMinNeg for [ -1 -2 -3 -4 -5 0 0 0 0 0 ] is 4
HiIndexMinNeg for [ 1 -5 2 -4 3 -3 4 -2 5 -1 ] is 1
